year,scenario,annual_demand_mwh
2025,toronto_natural_gas_to_solar,145587496.0
2026,toronto_natural_gas_to_solar,149551690.46823594
2027,toronto_natural_gas_to_solar,153623825.78451005
2028,toronto_natural_gas_to_solar,157806841.0646423
2029,toronto_natural_gas_to_solar,162103755.45348686
2030,toronto_natural_gas_to_solar,166517670.3040382
2031,toronto_natural_gas_to_solar,171051771.4158727
2032,toronto_natural_gas_to_solar,175709331.3345402
2033,toronto_natural_gas_to_solar,180493711.71356544
2034,toronto_natural_gas_to_solar,185408365.74076492
2035,toronto_natural_gas_to_solar,190456840.63062912
2036,toronto_natural_gas_to_solar,195642780.1845702
2037,toronto_natural_gas_to_solar,200969927.42088214
2038,toronto_natural_gas_to_solar,206442127.27631226
2039,toronto_natural_gas_to_solar,212063329.3811937
2040,toronto_natural_gas_to_solar,217837590.91014138
2041,toronto_natural_gas_to_solar,223769079.51037
2042,toronto_natural_gas_to_solar,229862076.3097466
2043,toronto_natural_gas_to_solar,236120979.0067497
2044,toronto_natural_gas_to_solar,242550305.04456416
2045,toronto_natural_gas_to_solar,249154694.87160403
2046,toronto_natural_gas_to_solar,255938915.29081517
2047,toronto_natural_gas_to_solar,262907862.90017688
2048,toronto_natural_gas_to_solar,270066567.62688375
2049,toronto_natural_gas_to_solar,277420196.3577602
2050,toronto_natural_gas_to_solar,284974056.66852725
