year,scenario,source,capacity_mw,capacity_added_mw,capacity_retired_mw,capacity_factor,energy_generated_mwh,annualized_capex,opex,total_cost,emissions_t
2025,toronto_natural_gas_to_solar,battery,1529.001,529.001,0.0,0.15,2009107.445,61160043.98,16072859.56,77232903.54,0.0
2025,toronto_natural_gas_to_solar,solar,6116.004,2116.004,0.0,0.22,11786763.676,220176158.33,141441164.11,361617322.45,235735.274
2025,toronto_natural_gas_to_solar,wind,5351.504,1851.504,0.0,0.35,16407710.799,278278200.12,246115661.99,524393862.1,246115.662
2025,toronto_natural_gas_to_solar,natural_gas,6116.004,2116.004,0.0,0.55,29466909.19,224253494.6,1326010913.57,1550264408.17,13260109.136
2026,toronto_natural_gas_to_solar,battery,1570.634,41.633,0.0,0.15,2063813.328,62825367.69,16510506.63,79335874.31,0.0
2026,toronto_natural_gas_to_solar,solar,6282.537,166.532,0.0,0.22,12107704.86,226171323.67,145292458.32,371463781.99,242154.097
2026,toronto_natural_gas_to_solar,wind,5497.22,145.716,0.0,0.35,16854475.516,285855422.97,252817132.74,538672555.7,252817.133
2026,toronto_natural_gas_to_solar,natural_gas,6282.537,166.532,0.0,0.55,30269262.151,230359681.51,1362116796.78,1592476478.3,13621167.968
2027,toronto_natural_gas_to_solar,battery,1613.401,42.767,0.0,0.15,2120008.796,64536036.4,16960070.37,81496106.77,0.0
2027,toronto_natural_gas_to_solar,solar,6453.604,171.067,0.0,0.22,12437384.936,232329731.05,149248619.23,381578350.28,248747.699
2027,toronto_natural_gas_to_solar,wind,5646.903,149.684,0.0,0.35,17313405.166,293638965.63,259701077.49,553340043.12,259701.077
2027,toronto_natural_gas_to_solar,natural_gas,6453.604,171.067,0.0,0.55,31093462.339,236632133.48,1399205805.25,1635837938.72,13992058.052
2028,toronto_natural_gas_to_solar,battery,1657.332,43.931,0.0,0.15,2177734.407,66293284.83,17421875.25,83715160.08,0.0
