year,scenario,annual_demand_mwh,energy_generated_mwh,unmet_demand_mwh,required_firm_capacity_mw,total_capacity_mw,total_cost,total_emissions_t
2025,base_case,145587496.0,64090527.489,81496968.511,19112.514,12500.0,2810670267.69,16998053.537
2026,base_case,149551690.468,65835645.178,83716045.29,19632.927,19112.514,2887201864.38,17460892.665
2027,base_case,153623825.785,67628280.587,85995545.198,20167.511,19632.927,2965817336.0,17936334.417
2028,base_case,157806841.065,69469727.573,88337113.491,20716.652,20167.511,3046573424.26,18424721.948
2029,base_case,162103755.453,71361315.226,90742440.228,21280.744,20716.652,3129528415.92,18926407.758
2030,base_case,166517670.304,73304408.821,93213261.483,21860.196,21280.744,3214742184.79,19441753.945
2031,base_case,171051771.416,75300410.813,95751360.603,22455.427,21860.196,3302276235.0,19971132.466
2032,base_case,175709331.335,77350761.84,98358569.494,23066.864,22455.427,3392193745.39,20514925.409
2033,base_case,180493711.714,79456941.771,101036769.943,23694.951,23066.864,3484559615.05,21073525.262
2034,base_case,185408365.741,81620470.766,103787894.974,24340.139,23694.951,3579440510.25,21647335.201
2035,base_case,190456840.631,83842910.382,106613930.248,25002.896,24340.139,3676904912.49,22236769.382
2036,base_case,195642780.185,86125864.693,109516915.492,25683.698,25002.896,3777023167.93,22842253.236
2037,base_case,200969927.421,88470981.449,112498945.972,26383.038,25683.698,3879867538.22,23464223.779
2038,base_case,206442127.276,90879953.27,115562174.007,27101.421,26383.038,3985512252.61,24103129.926
2039,base_case,212063329.381,93354518.86,118708810.521,27839.364,27101.421,4094033561.5,24759432.816
2040,base_case,217837590.91,99014599.025,118822991.885,28597.401,26310.363,4353130509.43,26793450.426
2041,base_case,223769079.51,101710662.468,122058417.043,29376.078,28555.768,4471661677.01,27523007.915
2042,base_case,229862076.31,104480136.884,125381939.426,30175.958,29333.311,4593420323.67,28272430.487
2043,base_case,236120979.007,107325021.178,128795957.829,30997.617,30132.026,4718494330.28,29042259.048
2044,base_case,242550305.045,110247368.68,132302936.365,31841.65,30952.49,4846973970.61,29833049.231
2045,base_case,249154694.872,113249288.632,135905406.24,32708.664,31795.293,4978951976.48,30645371.8
2046,base_case,255938915.291,116332947.709,139605967.582,33599.287,32661.046,5114523604.71,31479813.058
2047,base_case,262907862.9,119500571.581,143407291.319,34514.16,33550.372,5253786705.86,32336975.275
2048,base_case,270066567.627,122754446.521,147312121.106,35453.944,34463.913,5396841794.86,33217477.118
2049,base_case,277420196.358,126096921.055,151323275.303,36419.318,35402.329,5543792123.54,34121954.1
2050,base_case,284974056.669,137609698.395,147364358.274,37410.978,26427.79,6360685440.45,43467129.761
