year,scenario,annual_demand_mwh,energy_generated_mwh,storage_delivered_mwh,unmet_demand_mwh,reserve_margin,reliability_pass
2025,toronto_natural_gas_to_solar,145587496.0,59670491.111,900.0,85916104.889,0.15000001538593674,False
2026,toronto_natural_gas_to_solar,149551690.468,61295255.855,900.0,88255534.613,0.14999997647502364,False
2027,toronto_natural_gas_to_solar,153623825.785,62964261.236,900.0,90658664.549,0.14999997856615022,False
2028,toronto_natural_gas_to_solar,157806841.065,64678711.879,900.0,93127229.18599999,0.15000002721840155,False
2029,toronto_natural_gas_to_solar,162103755.453,66439845.21,900.0,95663010.243,0.14999999178951776,False
2030,toronto_natural_gas_to_solar,166517670.304,68248932.351,900.0,98267837.953,0.14999997664151812,False
2031,toronto_natural_gas_to_solar,171051771.416,70107279.033,900.0,100943592.383,0.15000001982791508,False
2032,toronto_natural_gas_to_solar,175709331.335,72016226.541,900.0,103692204.79400001,0.14999998636811154,False
2033,toronto_natural_gas_to_solar,180493711.714,73977152.683,900.0,106515659.03099999,0.15000001268132845,False
2034,toronto_natural_gas_to_solar,185408365.741,75991472.783,900.0,109415992.95799999,0.14999998402364434,False
2035,toronto_natural_gas_to_solar,190456840.631,78060640.701,900.0,112395299.93,0.1500000117315293,False
2036,toronto_natural_gas_to_solar,195642780.185,80186149.886,900.0,115455730.299,0.1499999860319404,False
2037,toronto_natural_gas_to_solar,200969927.421,82369534.453,900.0,118599492.96800001,0.1499999818174289,False
2038,toronto_natural_gas_to_solar,206442127.276,84612370.285,900.0,121828856.991,0.15000000771451066,False
2039,toronto_natural_gas_to_solar,212063329.381,86916276.18,900.0,125146153.201,0.14999999930138788,False
2040,toronto_natural_gas_to_solar,217837590.91,92047446.854,900.0,125789244.056,0.15000001475181574,False
2041,toronto_natural_gas_to_solar,223769079.51,94553802.068,900.0,129214377.44199999,0.1500000082384037,False
2042,toronto_natural_gas_to_solar,229862076.31,97128402.699,900.0,132732773.611,0.15000001880910532,False
2043,toronto_natural_gas_to_solar,236120979.007,99773106.999,900.0,136346972.00800002,0.14999999602724826,False
2044,toronto_natural_gas_to_solar,242550305.045,102489823.817,900.0,140059581.228,0.15000001318592454,False
2045,toronto_natural_gas_to_solar,249154694.872,105280513.978,900.0,143873280.894,0.14999999011537793,False
2046,toronto_natural_gas_to_solar,255938915.291,108147191.698,900.0,147790823.593,0.15000000599889218,False
2047,toronto_natural_gas_to_solar,262907862.9,111091926.039,900.0,151815036.861,0.14999999720434393,False
2048,toronto_natural_gas_to_solar,270066567.627,114116842.401,900.0,155948825.22599998,0.14999998766581896,False
2049,toronto_natural_gas_to_solar,277420196.358,117224124.055,900.0,160195172.30299997,0.14999999952526896,False
2050,toronto_natural_gas_to_solar,284974056.669,128023833.913,900.0,156949322.75600004,0.15000000740646366,False
