year,scenario,annual_demand_mwh
2025,base_case,145587496.0
2026,base_case,149551690.46823594
2027,base_case,153623825.78451005
2028,base_case,157806841.0646423
2029,base_case,162103755.45348686
2030,base_case,166517670.3040382
2031,base_case,171051771.4158727
2032,base_case,175709331.3345402
2033,base_case,180493711.71356544
2034,base_case,185408365.74076492
2035,base_case,190456840.63062912
2036,base_case,195642780.1845702
2037,base_case,200969927.42088214
2038,base_case,206442127.27631226
2039,base_case,212063329.3811937
2040,base_case,217837590.91014138
2041,base_case,223769079.51037
2042,base_case,229862076.3097466
2043,base_case,236120979.0067497
2044,base_case,242550305.04456416
2045,base_case,249154694.87160403
2046,base_case,255938915.29081517
2047,base_case,262907862.90017688
2048,base_case,270066567.62688375
2049,base_case,277420196.3577602
2050,base_case,284974056.66852725
