year,scenario,source,capacity_mw,capacity_factor,energy_generated_mwh,annualized_capex,opex,total_cost,emissions_t
2025,base_case,battery,1529.001,0.15,2009107.445,61160043.98,16072859.56,77232903.54,0.0
2025,base_case,solar,4587.003,0.22,8840072.757,165132118.75,106080873.09,271212991.84,176801.455
2025,base_case,wind,5351.504,0.35,16407710.799,278278200.12,246115661.99,524393862.1,246115.662
2025,base_case,natural_gas,7645.005,0.55,36833636.488,280316868.25,1657513641.96,1937830510.21,16575136.42
2026,base_case,battery,1570.634,0.15,2063813.328,62825367.69,16510506.63,79335874.31,0.0
2026,base_case,solar,4711.903,0.22,9080778.645,169628492.75,108969343.74,278597836.49,181615.573
2026,base_case,wind,5497.22,0.35,16854475.516,285855422.97,252817132.74,538672555.7,252817.133
2026,base_case,natural_gas,7853.171,0.55,37836577.688,287949601.89,1702645995.98,1990595597.87,17026459.96
2027,base_case,battery,1613.401,0.15,2120008.796,64536036.4,16960070.37,81496106.77,0.0
2027,base_case,solar,4840.203,0.22,9328038.702,174247298.29,111936464.42,286183762.71,186560.774
2027,base_case,wind,5646.903,0.35,17313405.166,293638965.63,259701077.49,553340043.12,259701.077
2027,base_case,natural_gas,8067.005,0.55,38866827.923,295790166.85,1749007256.56,2044797423.4,17490072.566
2028,base_case,battery,1657.332,0.15,2177734.407,66293284.83,17421875.25,83715160.08,0.0
2028,base_case,solar,4971.996,0.22,9582031.389,178991869.04,114984376.67,293976245.72,191640.628
2028,base_case,wind,5800.662,0.35,17784830.988,301634445.98,266772464.82,568406910.8,266772.465
2028,base_case,natural_gas,8286.661,0.55,39925130.789,303844222.14,1796630885.52,2100475107.66,17966308.855
2029,base_case,battery,1702.46,0.15,2237031.825,68098381.29,17896254.6,85994635.89,0.0
2029,base_case,solar,5107.379,0.22,9842940.031,183865629.47,118115280.37,301980909.85,196858.801
2029,base_case,wind,5958.608,0.35,18269093.24,309847634.85,274036398.59,583884033.45,274036.399
2029,base_case,natural_gas,8512.298,0.55,41012250.13,312117580.9,1845551255.84,2157668836.73,18455512.558
2030,base_case,battery,1748.816,0.15,2297943.85,69952628.62,18383550.8,88336179.42,0.0
2030,base_case,solar,5246.447,0.22,10110952.941,188872097.28,121331435.29,310203532.57,202219.059
2030,base_case,wind,6120.855,0.35,18766541.443,318284460.22,281498121.65,599782581.87,281498.122
2030,base_case,natural_gas,8744.079,0.55,42128970.587,320616214.51,1895803676.41,2216419890.92,18958036.764
2031,base_case,battery,1796.434,0.15,2360514.446,71857365.16,18884115.56,90741480.73,0.0
2031,base_case,solar,5389.302,0.22,10386263.56,194014885.93,124635162.72,318650048.66,207725.271
2031,base_case,wind,6287.519,0.35,19277534.639,326951011.48,289163019.58,616114031.06,289163.02
2031,base_case,natural_gas,8982.171,0.55,43276098.168,329346256.99,1947424417.57,2276770674.56,19474244.176
2032,base_case,battery,1845.349,0.15,2424788.772,73813965.67,19398310.18,93212275.85,0.0
2032,base_case,solar,5536.047,0.22,10669070.599,199297707.32,128028847.18,327326554.51,213381.412
2032,base_case,wind,6458.722,0.35,19802441.641,335853543.82,297036624.62,632890168.44,297036.625
2032,base_case,natural_gas,9226.746,0.55,44454460.828,338314009.34,2000450737.24,2338764746.59,20004507.372
2033,base_case,battery,1895.596,0.15,2490813.222,75823842.36,19926505.77,95750348.14,0.0
2033,base_case,solar,5686.788,0.22,10959578.175,204724374.38,131514938.1,336239312.48,219191.564
2033,base_case,wind,6634.586,0.35,20341641.31,344998482.75,305124619.65,650123102.41,305124.62
2033,base_case,natural_gas,9477.98,0.55,45664909.064,347525944.17,2054920907.86,2402446852.03,20549209.079
2034,base_case,battery,1947.211,0.15,2558635.447,77888445.88,20469083.58,98357529.46,0.0
2034,base_case,solar,5841.633,0.22,11257995.968,210298803.88,135095951.61,345394755.49,225159.919
2034,base_case,wind,6815.239,0.35,20895522.819,354392428.76,313432842.28,667825271.05,313432.842
2034,base_case,natural_gas,9736.056,0.55,46908316.532,356988710.29,2110874243.96,2467862954.25,21108742.44
2035,base_case,battery,2000.232,0.15,2628304.401,80009266.38,21026435.21,101035701.59,0.0
2035,base_case,solar,6000.695,0.22,11564539.363,216025019.24,138774472.36,354799491.59,231290.787
2035,base_case,wind,7000.811,0.35,21464485.939,364042162.05,321967289.09,686009451.13,321967.289
2035,base_case,natural_gas,10001.158,0.55,48185580.68,366709137.59,2168351130.58,2535060268.17,21683511.306
2036,base_case,battery,2054.696,0.15,2699870.367,82187834.6,21598962.93,103786797.53,0.0
2036,base_case,solar,6164.088,0.22,11879429.613,221907153.41,142553155.35,364460308.77,237588.592
2036,base_case,wind,7191.436,0.35,22048941.327,373954647.42,330734119.9,704688767.32,330734.12
2036,base_case,natural_gas,10273.479,0.55,49497623.387,376694241.91,2227393052.4,2604087294.31,22273930.524
